Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1b. Missing from MSitAE,RY4,Hertfordshire Community NHS Trust,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYF,South Western Ambulance Service NHS Foundation Trust,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYG,Coventry And Warwickshire Partnership NHS Trust,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y00751,East Berks Primary Care Ooh(Wam),May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02147,Urgent Care Centre (Qms),May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02428,Putnoe Medical Centre Walk In Centre,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02532,Miriam Minor Emergency,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02615,South Birmingham GP Walk In Centre,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02676,Brighton Station Health Centre,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02816,Eastbourne Station Health Centre,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03007,Erdington GP Health & Wellbeing Wic,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03051,Hastings Med P & Walkin,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03218,The Pinn Unregistered Wic,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03571,Corby Urgent Care Centre,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y04538,Bracknell Urgent Care Centre Wic,May-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,8J094,Badger Ltd,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AC008,Rossendale Minor Injuries Unit,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AJN,Workington Health Limited,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AQN04,Phl Lymington Utc,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,ARN03,Local Care Direct,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82009,Market Harborough Med.Ctr,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82010,Oakham Medical Practice,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82038,Latham House Medical Practice,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C83023,Sleaford Medical Group,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DD401,Exmouth Minor Injury Unit,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DT301,Herts Urgent Care (Ascots Lane),Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,G82071,Whitstable Medical Practice,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,L83087,Okehampton Medical Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,M85813,Birmingham Wic,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDA57,Haslemere Minor Injuries Unit,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDJ,First Community Health And Care Cic,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NJS05,Loughborough Urgent Care Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NL7,Assura Vertis Urgent Care Centres (Birmingham),Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NLX,Sirona Care & Health,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF09,Bransholme Health Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF76,The Wilberforce Health Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF94,East Riding Community Hospital,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNFA7,Goole & District Hospital,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ12,Market Harborough,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ13,Melton Mowbray,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ14,Oadby,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ15,Oakham,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQT10,Assura Reading Llp,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQTE4,Summerfield Urgent Care Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NR3,Nottingham Citycare Partnership,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NTP11,Practice Plus Group Hospital - Southampton,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RAN,Royal National Orthopaedic Hospital NHS Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBV,The Christie NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RDY,Dorset Healthcare University NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RET,The Walton Centre NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RJ8,Cornwall Partnership NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RV9,Humber Teaching NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RW4,Mersey Care NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RXG,South West Yorkshire Partnership NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RY4,Hertfordshire Community NHS Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYF,South Western Ambulance Service NHS Foundation Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYG,Coventry And Warwickshire Partnership NHS Trust,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y00751,East Berks Primary Care Ooh(Wam),Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02147,Urgent Care Centre (Qms),Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02428,Putnoe Medical Centre Walk In Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02532,Miriam Minor Emergency,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02615,South Birmingham GP Walk In Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02676,Brighton Station Health Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02816,Eastbourne Station Health Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03007,Erdington GP Health & Wellbeing Wic,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03051,Hastings Med P & Walkin,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03218,The Pinn Unregistered Wic,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03571,Corby Urgent Care Centre,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y04538,Bracknell Urgent Care Centre Wic,Jun-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,8J094,Badger Ltd,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AC008,Rossendale Minor Injuries Unit,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AJN,Workington Health Limited,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AQN04,Phl Lymington Utc,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,ARN03,Local Care Direct,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82009,Market Harborough Med.Ctr,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82010,Oakham Medical Practice,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82038,Latham House Medical Practice,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C83023,Sleaford Medical Group,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DD401,Exmouth Minor Injury Unit,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DT301,Herts Urgent Care (Ascots Lane),Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,G82071,Whitstable Medical Practice,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,L83087,Okehampton Medical Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,M85813,Birmingham Wic,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDA57,Haslemere Minor Injuries Unit,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDJ,First Community Health And Care Cic,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NJS05,Loughborough Urgent Care Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NL7,Assura Vertis Urgent Care Centres (Birmingham),Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NLX,Sirona Care & Health,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF09,Bransholme Health Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF76,The Wilberforce Health Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF94,East Riding Community Hospital,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNFA7,Goole & District Hospital,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ12,Market Harborough,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ13,Melton Mowbray,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ14,Oadby,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ15,Oakham,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQ106,Fryatt Hospital,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQ108,Clacton Hospital,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQT10,Assura Reading Llp,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQTE4,Summerfield Urgent Care Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NR3,Nottingham Citycare Partnership,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NTP11,Practice Plus Group Hospital - Southampton,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RAN,Royal National Orthopaedic Hospital NHS Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBV,The Christie NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RDY,Dorset Healthcare University NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RET,The Walton Centre NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RJ8,Cornwall Partnership NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RV9,Humber Teaching NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RW4,Mersey Care NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RXG,South West Yorkshire Partnership NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RY4,Hertfordshire Community NHS Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYF,South Western Ambulance Service NHS Foundation Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYG,Coventry And Warwickshire Partnership NHS Trust,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y00751,East Berks Primary Care Ooh(Wam),Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02147,Urgent Care Centre (Qms),Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02428,Putnoe Medical Centre Walk In Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02532,Miriam Minor Emergency,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02615,South Birmingham GP Walk In Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02676,Brighton Station Health Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02816,Eastbourne Station Health Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03007,Erdington GP Health & Wellbeing Wic,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03051,Hastings Med P & Walkin,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03218,The Pinn Unregistered Wic,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03571,Corby Urgent Care Centre,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y04538,Bracknell Urgent Care Centre Wic,Jul-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,8J094,Badger Ltd,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AC008,Rossendale Minor Injuries Unit,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AJN,Workington Health Limited,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AQN04,Phl Lymington Utc,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,ARN03,Local Care Direct,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82009,Market Harborough Med.Ctr,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82010,Oakham Medical Practice,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82038,Latham House Medical Practice,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C83023,Sleaford Medical Group,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DD401,Exmouth Minor Injury Unit,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DT301,Herts Urgent Care (Ascots Lane),Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,G82071,Whitstable Medical Practice,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,L83087,Okehampton Medical Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,M85813,Birmingham Wic,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDA57,Haslemere Minor Injuries Unit,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDJ,First Community Health And Care Cic,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NJS05,Loughborough Urgent Care Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NL7,Assura Vertis Urgent Care Centres (Birmingham),Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NLX,Sirona Care & Health,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF09,Bransholme Health Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF76,The Wilberforce Health Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF94,East Riding Community Hospital,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNFA7,Goole & District Hospital,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ12,Market Harborough,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ13,Melton Mowbray,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ14,Oadby,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ15,Oakham,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQ106,Fryatt Hospital,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQ108,Clacton Hospital,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQT10,Assura Reading Llp,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQTE4,Summerfield Urgent Care Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NR3,Nottingham Citycare Partnership,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NTP11,Practice Plus Group Hospital - Southampton,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RAN,Royal National Orthopaedic Hospital NHS Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBV,The Christie NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RDY,Dorset Healthcare University NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RET,The Walton Centre NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RJ8,Cornwall Partnership NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RW4,Mersey Care NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RXG,South West Yorkshire Partnership NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RY4,Hertfordshire Community NHS Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYF,South Western Ambulance Service NHS Foundation Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYG,Coventry And Warwickshire Partnership NHS Trust,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y00751,East Berks Primary Care Ooh(Wam),Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02147,Urgent Care Centre (Qms),Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02428,Putnoe Medical Centre Walk In Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02532,Miriam Minor Emergency,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02615,South Birmingham GP Walk In Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02676,Brighton Station Health Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02816,Eastbourne Station Health Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03007,Erdington GP Health & Wellbeing Wic,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03051,Hastings Med P & Walkin,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03218,The Pinn Unregistered Wic,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y03571,Corby Urgent Care Centre,Aug-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,8J094,Badger Ltd,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AC008,Rossendale Minor Injuries Unit,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AJN,Workington Health Limited,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,AQN04,Phl Lymington Utc,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,ARN03,Local Care Direct,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82009,Market Harborough Med.Ctr,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82010,Oakham Medical Practice,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C82038,Latham House Medical Practice,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,C83023,Sleaford Medical Group,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DD401,Exmouth Minor Injury Unit,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,DT301,Herts Urgent Care (Ascots Lane),Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,G82071,Whitstable Medical Practice,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,L83087,Okehampton Medical Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,M85813,Birmingham Wic,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDA57,Haslemere Minor Injuries Unit,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NDJ,First Community Health And Care Cic,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NJS05,Loughborough Urgent Care Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NL7,Assura Vertis Urgent Care Centres (Birmingham),Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NLX,Sirona Care & Health,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF09,Bransholme Health Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF76,The Wilberforce Health Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNF94,East Riding Community Hospital,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNFA7,Goole & District Hospital,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ12,Market Harborough,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ13,Melton Mowbray,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ14,Oadby,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NNJ15,Oakham,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQT10,Assura Reading Llp,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NQTE4,Summerfield Urgent Care Centre,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NR3,Nottingham Citycare Partnership,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,NTP11,Practice Plus Group Hospital - Southampton,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RAN,Royal National Orthopaedic Hospital NHS Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RBV,The Christie NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RDY,Dorset Healthcare University NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RET,The Walton Centre NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RJ8,Cornwall Partnership NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RW4,Mersey Care NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RXG,South West Yorkshire Partnership NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RY4,Hertfordshire Community NHS Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYF,South Western Ambulance Service NHS Foundation Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,RYG,Coventry And Warwickshire Partnership NHS Trust,Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y00751,East Berks Primary Care Ooh(Wam),Sep-21,All Patients,NULL,NULL,NULL,NULL
1b. Missing from MSitAE,Y02147,Urgent Care Centre (Qms),Sep-21,All Patients,NULL,NULL,NULL,NULL
